zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
20774,MD,51984.0,28.855032317636198,28.84452324464674
21237,MD,31477.0,28.592305492899577,28.592305492899577
82401,WY,7001.0,28.567347521782605,28.567347521782605
60463,IL,14048.0,28.473804100227788,28.473804100227788
19952,DE,10621.0,28.245927878730818,28.245927878730818
19004,PA,10668.0,28.121484814398205,28.121484814398205
80501,CO,42822.0,28.022978842650975,28.022978842650975
58401,ND,17847.0,28.01591303860593,28.01591303860593
08079,NJ,10793.0,27.79579356990642,27.79579356990642
43206,OH,21594.0,27.78549597110308,27.78549597110308
60473,IL,21661.0,27.699552190572916,27.699552190572916
70808,LA,32510.0,27.683789603199013,27.683789603199013
90301,CA,36270.0,27.570995312930798,27.570995312930798
17851,PA,7256.0,27.563395810363836,27.563395810363836
92626,CA,50885.0,27.51301955389604,27.51301955389604
20706,MD,43623.0,27.50842445498934,27.50842445498934
86303,AZ,18201.0,27.47101807592989,27.47101807592989
15219,PA,10949.0,27.39976253539136,27.39976253539136
60020,IL,10967.0,27.354791647670282,27.354791647670282
99701,AK,18357.0,27.237566051097673,27.237566051097673
07932,NJ,11036.0,27.183762232693002,27.183762232693002
80226,CO,33142.0,27.155874720897955,27.155874720897955
21226,MD,7368.0,27.14440825190011,27.14440825190011
07735,NJ,18652.0,26.8067767531632,26.8067767531632
02828,RI,7469.0,26.77734636497523,26.77734636497523
60901,IL,33628.0,26.76341144284525,26.76341144284525
62565,IL,7477.0,26.748696001069945,26.748696001069945
48039,MI,7485.0,26.720106880427522,26.720106880427522
66749,KS,7512.0,26.624068157614484,26.624068157614484
19301,PA,7542.0,26.518164942985948,26.518164942985948
45432,OH,15105.0,26.481297583581597,26.481297583581597
20785,MD,41636.0,26.419444711307523,26.419444711307523
44114,OH,7622.0,26.239832065074783,26.239832065074783
90212,CA,11451.0,26.198585276395075,26.198585276395075
33706,FL,15309.0,26.128421190149584,26.128421190149584
43617,OH,7659.0,26.11306959133046,26.11306959133046
59301,MT,11509.0,26.066556607872098,26.066556607872098
90305,CA,15367.0,26.029804125723956,26.029804125723956
20012,DC,15485.0,25.83144979011947,25.83144979011947
53130,WI,7743.0,25.82978173834431,25.82978173834431
78701,TX,11625.0,25.806451612903228,25.806451612903228
21228,MD,50418.0,25.784442064342098,25.784442064342098
21207,MD,46595.0,25.753836248524518,25.753836248524518
40741,KY,23327.0,25.72126720109744,25.72126720109744
92648,CA,46691.0,25.70088453877621,25.70088453877621
59417,MT,7795.0,25.65747273893522,25.65747273893522
50314,IA,11764.0,25.50153009180551,25.50153009180551
80304,CO,27532.0,25.424960046491353,25.424960046491353
61801,IL,27658.0,25.309132981415868,25.309132981415868
75601,TX,15813.0,25.295642825523302,25.295642825523302
45662,OH,27718.0,25.254347355509058,25.254347355509058
20601,MD,27789.0,25.1898233113822,25.1898233113822
80030,CO,15885.0,25.180988353792888,25.180988353792888
80223,CO,19862.0,25.173698519786527,25.173698519786527
60607,IL,31816.0,25.144581342720645,25.144581342720645
33410,FL,35946.0,25.03755633450175,25.03755633450175
17102,PA,7989.0,25.034422330704718,25.034422330704718
70360,LA,28014.0,24.98750624687656,24.98750624687656
60155,IL,8011.0,24.965672200724004,24.965672200724004
43205,OH,12044.0,24.908668216539354,24.908668216539354
62626,IL,8033.0,24.897298643097226,24.897298643097226
01105,MA,12051.0,24.894199651481205,24.894199651481205
80701,CO,16101.0,24.843177442394882,24.843177442394882
82435,WY,12093.0,24.807740014884644,24.807740014884644
92108,CA,24266.0,24.725954009725545,24.725954009725545
43623,OH,20320.0,24.606299212598426,24.606299212598426
21230,MD,36660.0,24.54991816693944,24.54991816693944
05602,VT,12235.0,24.519820187985285,24.519820187985285
90303,CA,24490.0,24.49979583503471,24.49979583503471
90401,CA,8167.0,24.488796375658136,24.488796375658136
92243,CA,49149.0,24.415552707074404,24.415552707074404
33128,FL,8213.0,24.3516376476318,24.3516376476318
55105,MN,28812.0,24.295432458697764,24.295432458697764
90069,CA,20584.0,24.290711232024876,24.290711232024876
98563,WA,8235.0,24.286581663630844,24.286581663630844
21206,MD,49470.0,24.25712553062462,24.25712553062462
37921,TN,28903.0,24.21893921046258,24.21893921046258
80236,CO,16565.0,24.147298520977966,24.147298520977966
