zipcode,state,population,combined_all_facilities,combined_all_facilities_capped_viz
21045,MD,39321.0,12,12.0
23662,VA,12460.0,12,12.0
21244,MD,38015.0,12,12.0
03301,NH,33352.0,12,12.0
08753,NJ,64369.0,12,12.0
85395,AZ,37157.0,12,12.0
96813,HI,27372.0,12,12.0
84102,UT,18857.0,12,12.0
21211,MD,17721.0,12,12.0
10456,NY,93412.0,12,12.0
10019,NY,49029.0,12,12.0
10018,NY,11145.0,12,12.0
41230,KY,12670.0,12,12.0
40218,KY,33437.0,12,12.0
30067,GA,47653.0,12,12.0
08901,NJ,56278.0,12,12.0
12184,NY,7178.0,12,12.0
78041,TX,48491.0,12,12.0
95816,CA,18606.0,12,12.0
91604,CA,30947.0,12,12.0
85018,AZ,37944.0,12,12.0
84119,UT,54143.0,12,12.0
92530,CA,59098.0,12,12.0
92109,CA,44671.0,12,12.0
48126,MI,55863.0,12,12.0
21236,MD,40555.0,12,12.0
23235,VA,34058.0,12,12.0
89104,NV,41662.0,12,12.0
77079,TX,36404.0,12,12.0
95060,CA,47931.0,11,11.0
77084,TX,109808.0,11,11.0
93726,CA,42366.0,11,11.0
93010,CA,46223.0,11,11.0
20910,MD,45610.0,11,11.0
85381,AZ,27008.0,11,11.0
92504,CA,54642.0,11,11.0
21040,MD,25138.0,11,11.0
79902,TX,20071.0,11,11.0
95403,CA,44705.0,11,11.0
77007,TX,42908.0,11,11.0
77004,TX,37005.0,11,11.0
94117,CA,38451.0,11,11.0
92592,CA,79740.0,11,11.0
84057,UT,38401.0,11,11.0
70360,LA,28014.0,11,11.0
85281,AZ,69218.0,11,11.0
34984,FL,16721.0,11,11.0
90670,CA,17761.0,11,11.0
89106,NV,27695.0,11,11.0
84121,UT,41628.0,11,11.0
80226,CO,33142.0,11,11.0
80045,CO,1278.0,11,11.0
93728,CA,16191.0,11,11.0
92683,CA,90946.0,11,11.0
85013,AZ,21970.0,11,11.0
94606,CA,40768.0,11,11.0
92832,CA,26277.0,11,11.0
02895,RI,43269.0,11,11.0
07410,NJ,34927.0,11,11.0
07306,NJ,55342.0,11,11.0
07601,NJ,46030.0,11,11.0
55408,MN,33718.0,11,11.0
77469,TX,57925.0,11,11.0
80026,CO,32318.0,11,11.0
85029,AZ,47101.0,11,11.0
81082,CO,12026.0,11,11.0
92270,CA,16999.0,11,11.0
93291,CA,63366.0,11,11.0
90027,CA,44471.0,11,11.0
98201,WA,30421.0,11,11.0
85004,AZ,8833.0,11,11.0
10458,NY,81299.0,11,11.0
10029,NY,78141.0,11,11.0
21727,MD,6593.0,11,11.0
08003,NJ,31402.0,11,11.0
21222,MD,59062.0,11,11.0
40211,KY,21310.0,11,11.0
40509,KY,44572.0,11,11.0
55104,MN,45612.0,11,11.0
11375,NY,72851.0,11,11.0
33021,FL,50091.0,11,11.0
60515,IL,29278.0,11,11.0
30342,GA,32494.0,11,11.0
60123,IL,47932.0,11,11.0
30101,GA,61989.0,11,11.0
28376,NC,43160.0,11,11.0
40324,KY,51035.0,11,11.0
63108,MO,23603.0,11,11.0
70601,LA,34571.0,11,11.0
84097,UT,23038.0,11,11.0
90813,CA,54565.0,11,11.0
84660,UT,45959.0,11,11.0
60636,IL,34800.0,11,11.0
60616,IL,54013.0,11,11.0
39520,MS,14963.0,11,11.0
67207,KS,28143.0,11,11.0
44115,OH,8985.0,11,11.0
43068,OH,59585.0,11,11.0
43219,OH,30457.0,11,11.0
43235,OH,45561.0,11,11.0
85022,AZ,51314.0,11,11.0
31602,GA,35999.0,11,11.0
90011,CA,102308.0,11,11.0
34957,FL,22955.0,11,11.0
36604,AL,8798.0,11,11.0
33143,FL,34853.0,11,11.0
36117,AL,53172.0,11,11.0
60654,IL,23890.0,11,11.0
33805,FL,26954.0,11,11.0
33174,FL,32962.0,11,11.0
92083,CA,39219.0,11,11.0
33030,FL,36776.0,11,11.0
37919,TN,30822.0,11,11.0
33907,FL,24980.0,11,11.0
33484,FL,26340.0,11,11.0
53212,WI,28702.0,11,11.0
85043,AZ,35800.0,11,11.0
37211,TN,81830.0,11,11.0
33060,FL,35793.0,11,11.0
84403,UT,37847.0,11,11.0
20601,MD,27789.0,11,11.0
19901,DE,36839.0,11,11.0
77584,TX,93062.0,11,11.0
95825,CA,36081.0,10,10.0
92506,CA,45185.0,10,10.0
92563,CA,73224.0,10,10.0
76092,TX,31924.0,10,10.0
92395,CA,47556.0,10,10.0
75034,TX,47734.0,10,10.0
93065,CA,73943.0,10,10.0
27265,NC,52530.0,10,10.0
47403,IN,33066.0,10,10.0
60623,IL,87649.0,10,10.0
27217,NC,39556.0,10,10.0
33180,FL,35062.0,10,10.0
57105,SD,22635.0,10,10.0
84790,UT,52982.0,10,10.0
40207,KY,30104.0,10,10.0
80112,CO,35713.0,10,10.0
40351,KY,22305.0,10,10.0
91505,CA,32371.0,10,10.0
89120,NV,24813.0,10,10.0
80020,CO,52141.0,10,10.0
07652,NJ,26698.0,10,10.0
21014,MD,38395.0,10,10.0
10016,NY,62336.0,10,10.0
97220,OR,29357.0,10,10.0
38119,TN,23997.0,10,10.0
91306,CA,46669.0,10,10.0
28358,NC,32865.0,10,10.0
28562,NC,39375.0,10,10.0
85034,AZ,5033.0,10,10.0
91607,CA,30502.0,10,10.0
44691,OH,44666.0,10,10.0
45242,OH,23214.0,10,10.0
95991,CA,43345.0,10,10.0
83301,ID,60789.0,10,10.0
93901,CA,29700.0,10,10.0
98104,WA,16157.0,10,10.0
92590,CA,4840.0,10,10.0
07094,NJ,22181.0,10,10.0
31904,GA,36947.0,10,10.0
75062,TX,50466.0,10,10.0
56560,MN,44205.0,10,10.0
55113,MN,41699.0,10,10.0
40601,KY,52133.0,10,10.0
46250,IN,19156.0,10,10.0
30022,GA,66667.0,10,10.0
10035,NY,35980.0,10,10.0
08619,NJ,23301.0,10,10.0
84604,UT,45503.0,10,10.0
07018,NJ,30429.0,10,10.0
93001,CA,33859.0,10,10.0
91401,CA,39621.0,10,10.0
91001,CA,36578.0,10,10.0
91104,CA,34707.0,10,10.0
97103,OR,18080.0,10,10.0
85338,AZ,59313.0,10,10.0
96001,CA,33914.0,10,10.0
95482,CA,33276.0,10,10.0
81052,CO,9142.0,10,10.0
10003,NY,57076.0,10,10.0
33069,FL,28817.0,10,10.0
85302,AZ,41369.0,10,10.0
37067,TN,31465.0,10,10.0
43205,OH,12044.0,10,10.0
30071,GA,25629.0,10,10.0
30092,GA,35988.0,10,10.0
07111,NJ,61176.0,10,10.0
08053,NJ,46826.0,10,10.0
21703,MD,41138.0,10,10.0
33487,FL,20644.0,10,10.0
35630,AL,32671.0,10,10.0
37129,TN,60494.0,10,10.0
82240,WY,9689.0,10,10.0
99202,WA,21969.0,10,10.0
98908,WA,38205.0,10,10.0
33125,FL,53507.0,10,10.0
95112,CA,60754.0,10,10.0
33161,FL,53015.0,10,10.0
80304,CO,27532.0,10,10.0
92324,CA,58626.0,10,10.0
29201,SC,25259.0,10,10.0
92649,CA,34082.0,10,10.0
92692,CA,46434.0,10,10.0
48203,MI,22168.0,10,10.0
49503,MI,39344.0,10,10.0
83704,ID,42430.0,10,10.0
44106,OH,26608.0,10,10.0
70448,LA,25670.0,10,10.0
92703,CA,65621.0,10,10.0
07960,NJ,45609.0,10,10.0
29501,SC,46528.0,10,10.0
37601,TN,37079.0,10,10.0
44118,OH,40242.0,10,10.0
85212,AZ,48422.0,10,10.0
58501,ND,28388.0,10,10.0
32114,FL,34943.0,10,10.0
90049,CA,36980.0,10,10.0
80524,CO,39030.0,10,10.0
91360,CA,43046.0,10,10.0
46901,IN,38072.0,10,10.0
75601,TX,15813.0,10,10.0
25801,WV,31369.0,10,10.0
60617,IL,77270.0,10,10.0
98499,WA,33188.0,10,10.0
57783,SD,16165.0,10,10.0
38671,MS,36073.0,10,10.0
21133,MD,30527.0,10,10.0
60901,IL,33628.0,10,10.0
91203,CA,16930.0,10,10.0
17331,PA,55458.0,10,10.0
90057,CA,45510.0,10,10.0
27834,NC,55051.0,10,10.0
32301,FL,29686.0,10,10.0
21093,MD,38677.0,10,10.0
40504,KY,26042.0,10,10.0
80701,CO,16101.0,10,10.0
84601,UT,33986.0,10,10.0
81632,CO,11343.0,10,10.0
79106,TX,27692.0,10,10.0
11230,NY,91391.0,10,10.0
80223,CO,19862.0,10,10.0
28806,NC,44621.0,9,9.0
95340,CA,38606.0,9,9.0
80016,CO,65406.0,9,9.0
11226,NY,101727.0,9,9.0
19063,PA,38338.0,9,9.0
85710,AZ,57381.0,9,9.0
10451,NY,51536.0,9,9.0
94509,CA,69931.0,9,9.0
37921,TN,28903.0,9,9.0
91601,CA,39429.0,9,9.0
90604,CA,40110.0,9,9.0
22601,VA,29720.0,9,9.0
85704,AZ,34430.0,9,9.0
92392,CA,62294.0,9,9.0
90044,CA,94354.0,9,9.0
11201,NY,69703.0,9,9.0
95032,CA,28109.0,9,9.0
62901,IL,22967.0,9,9.0
85259,AZ,22548.0,9,9.0
85234,AZ,51051.0,9,9.0
02852,RI,23579.0,9,9.0
60624,IL,37547.0,9,9.0
77071,TX,26949.0,9,9.0
27406,NC,61597.0,9,9.0
77471,TX,42284.0,9,9.0
21136,MD,34973.0,9,9.0
95667,CA,37283.0,9,9.0
27858,NC,52857.0,9,9.0
75074,TX,53003.0,9,9.0
