zipcode,state,population,is_substance_abuse_rehab_per_100k,is_substance_abuse_rehab_per_100k_capped_viz
80129,CO,29703.0,3.366663300003367,3.366663300003367
29732,SC,59417.0,3.366040022215864,3.366040022215864
92571,CA,59450.0,3.3641715727502106,3.3641715727502106
55318,MN,29729.0,3.363718927646406,3.363718927646406
33145,FL,29737.0,3.3628140027575077,3.3628140027575077
44146,OH,29778.0,3.358183894150044,3.358183894150044
43068,OH,59585.0,3.356549467147772,3.356549467147772
50701,IA,29806.0,3.3550291887539423,3.3550291887539423
60142,IL,29831.0,3.3522174918708725,3.3522174918708725
20721,MD,29847.0,3.35042047776996,3.35042047776996
65203,MO,59712.0,3.3494105037513395,3.3494105037513395
76110,TX,29858.0,3.349186147766093,3.349186147766093
77706,TX,29910.0,3.3433634236041456,3.3433634236041456
32127,FL,29999.0,3.333444448148272,3.333444448148272
14626,NY,30032.0,3.3297815663292485,3.3297815663292485
24012,VA,30037.0,3.329227286346839,3.329227286346839
75232,TX,30061.0,3.3265693090715547,3.3265693090715547
91732,CA,60137.0,3.325739561334952,3.325739561334952
96826,HI,30092.0,3.3231423634188486,3.3231423634188486
03079,NH,30095.0,3.3228110981890677,3.3228110981890677
53216,WI,30109.0,3.3212660666245974,3.3212660666245974
49022,MI,30143.0,3.3175198221809374,3.3175198221809374
76401,TX,30144.0,3.3174097664543525,3.3174097664543525
89512,NV,30148.0,3.3169696165583122,3.3169696165583122
37040,TN,60382.0,3.3122453711370934,3.3122453711370934
92020,CA,60454.0,3.3083005260197837,3.3083005260197837
95682,CA,30233.0,3.307643965203585,3.307643965203585
49525,MI,30275.0,3.3030553261767137,3.3030553261767137
18940,PA,30280.0,3.3025099075297226,3.3025099075297226
97321,OR,30291.0,3.3013106203162654,3.3013106203162654
30012,GA,30307.0,3.2995677566238824,3.2995677566238824
32757,FL,30315.0,3.2986970146792016,3.2986970146792016
49024,MI,30332.0,3.2968482131082686,3.2968482131082686
06708,CT,30345.0,3.295435821387378,3.295435821387378
33054,FL,30352.0,3.2946758039008963,3.2946758039008963
39180,MS,30383.0,3.2913142217687525,3.2913142217687525
72764,AR,60786.0,3.2902313032606196,3.2902313032606196
78501,TX,60817.0,3.2885541871516186,3.2885541871516186
68801,NE,30440.0,3.2851511169513796,3.2851511169513796
93940,CA,30454.0,3.2836409010310637,3.2836409010310637
43219,OH,30457.0,3.2833174639655907,3.2833174639655907
67203,KS,30498.0,3.27890353465801,3.27890353465801
52761,IA,30530.0,3.2754667540124465,3.2754667540124465
27104,NC,30533.0,3.2751449251629388,3.2751449251629388
77803,TX,30533.0,3.2751449251629388,3.2751449251629388
08865,NJ,30537.0,3.274715918394079,3.274715918394079
53217,WI,30559.0,3.2723583886907295,3.2723583886907295
14127,NY,30565.0,3.2717160150498934,3.2717160150498934
30507,GA,30573.0,3.2708599090700945,3.2708599090700945
55421,MN,30580.0,3.2701111837802483,3.2701111837802483
33919,FL,30587.0,3.2693628011900477,3.2693628011900477
11216,NY,61251.0,3.2652528121989843,3.2652528121989843
33809,FL,30629.0,3.2648796891834535,3.2648796891834535
55021,MN,30636.0,3.2641336989163077,3.2641336989163077
21771,MD,30697.0,3.257647327100368,3.257647327100368
95961,CA,30717.0,3.255526255819253,3.255526255819253
66102,KS,30730.0,3.254149040026033,3.254149040026033
50310,IA,30754.0,3.251609546725629,3.251609546725629
81301,CO,30760.0,3.250975292587776,3.250975292587776
27703,NC,61539.0,3.249971562748826,3.249971562748826
93662,CA,30774.0,3.249496328069149,3.249496328069149
28031,NC,30836.0,3.242962770787391,3.242962770787391
10009,NY,61716.0,3.240650722665111,3.240650722665111
40004,KY,30890.0,3.237293622531564,3.237293622531564
01109,MA,30968.0,3.2291397571686904,3.2291397571686904
30253,GA,62025.0,3.2245062474808543,3.2245062474808543
77479,TX,93180.0,3.2195750160978753,3.2195750160978753
68107,NE,31064.0,3.2191604429564773,3.2191604429564773
94607,CA,31067.0,3.2188495831589785,3.2188495831589785
15213,PA,31075.0,3.2180209171359615,3.2180209171359615
76901,TX,31084.0,3.2170891777120065,3.2170891777120065
67801,KS,31090.0,3.21646831778707,3.21646831778707
11717,NY,62193.0,3.2157959899024005,3.2157959899024005
01876,MA,31105.0,3.2149172158816914,3.2149172158816914
06051,CT,31134.0,3.2119226569024217,3.2119226569024217
75243,TX,62273.0,3.2116647664316798,3.2116647664316798
10456,NY,93412.0,3.2115788121440496,3.2115788121440496
96825,HI,31147.0,3.210582078530838,3.210582078530838
34990,FL,31160.0,3.209242618741977,3.209242618741977
53546,WI,31190.0,3.206155819172812,3.206155819172812
02720,MA,31209.0,3.2042039155371844,3.2042039155371844
73119,OK,31216.0,3.2034853921066118,3.2034853921066118
06811,CT,31216.0,3.2034853921066118,3.2034853921066118
98273,WA,31243.0,3.200716960599174,3.200716960599174
74066,OK,31255.0,3.1994880819068947,3.1994880819068947
97213,OR,31260.0,3.198976327575176,3.198976327575176
47711,IN,31266.0,3.198362438431523,3.198362438431523
08723,NJ,31272.0,3.1977487848554618,3.1977487848554618
97603,OR,31302.0,3.1946840457478753,3.1946840457478753
71107,LA,31311.0,3.1937657692184853,3.1937657692184853
54302,WI,31327.0,3.1921345803939096,3.1921345803939096
66614,KS,31332.0,3.1916251755393845,3.1916251755393845
90640,CA,62678.0,3.1909122818213724,3.1909122818213724
49505,MI,31444.0,3.1802569647627528,3.1802569647627528
43402,OH,31459.0,3.1787405829810225,3.1787405829810225
63146,MO,31459.0,3.1787405829810225,3.1787405829810225
50158,IA,31466.0,3.178033432911714,3.178033432911714
95824,CA,31524.0,3.1721862707778197,3.1721862707778197
31404,GA,31530.0,3.1715826197272436,3.1715826197272436
02904,RI,31542.0,3.1703760065943825,3.1703760065943825
78239,TX,31554.0,3.1691703112125245,3.1691703112125245
33325,FL,31556.0,3.1689694511344912,3.1689694511344912
76036,TX,31589.0,3.1656589319066764,3.1656589319066764
02115,MA,31604.0,3.1641564358941907,3.1641564358941907
74820,OK,31630.0,3.161555485298767,3.161555485298767
20746,MD,31635.0,3.16105579263474,3.16105579263474
60619,IL,63303.0,3.159407926954489,3.159407926954489
50322,IA,31652.0,3.159358018450651,3.159358018450651
44004,OH,31661.0,3.1584599349357254,3.1584599349357254
23606,VA,31684.0,3.1561671506122964,3.1561671506122964
77373,TX,63413.0,3.153927428129879,3.153927428129879
74011,OK,31803.0,3.1443574505549794,3.1443574505549794
33756,FL,31807.0,3.143962020938787,3.143962020938787
10025,NY,95424.0,3.143863179074447,3.143863179074447
21009,MD,31835.0,3.141196795979268,3.141196795979268
37830,TN,31839.0,3.1408021608718864,3.1408021608718864
48640,MI,31840.0,3.14070351758794,3.14070351758794
02453,MA,31854.0,3.139323161926289,3.139323161926289
01845,MA,31855.0,3.1392246115209543,3.1392246115209543
32082,FL,31861.0,3.138633439000659,3.138633439000659
55428,MN,31896.0,3.135189365437672,3.135189365437672
93004,CA,31942.0,3.130674347254399,3.130674347254399
57108,SD,31953.0,3.1295965949989046,3.1295965949989046
08648,NJ,31955.0,3.129400719762166,3.129400719762166
16101,PA,31960.0,3.1289111389236544,3.1289111389236544
10027,NY,64037.0,3.1231944032356296,3.1231944032356296
19026,PA,32021.0,3.1229505636925765,3.1229505636925765
20745,MD,32024.0,3.122658006495129,3.122658006495129
90606,CA,32078.0,3.1174013342477713,3.1174013342477713
95829,CA,32123.0,3.1130342745073625,3.1130342745073625
30214,GA,32135.0,3.1118717908822155,3.1118717908822155
77356,TX,32136.0,3.1117749564351507,3.1117749564351507
23860,VA,32139.0,3.111484489249821,3.111484489249821
92405,CA,32165.0,3.1089693766516397,3.1089693766516397
48601,MI,32165.0,3.1089693766516397,3.1089693766516397
43081,OH,64338.0,3.108582797102801,3.108582797102801
50265,IA,32187.0,3.1068443781650976,3.1068443781650976
68123,NE,32203.0,3.1053007483774806,3.1053007483774806
55122,MN,32204.0,3.1052043224444166,3.1052043224444166
76903,TX,32215.0,3.104144032283098,3.104144032283098
42101,KY,64444.0,3.1034696791012357,3.1034696791012357
77327,TX,32269.0,3.0989494561343705,3.0989494561343705
15001,PA,32299.0,3.0960710857921296,3.0960710857921296
19143,PA,64648.0,3.093676525182527,3.093676525182527
90712,CA,32332.0,3.092911047878263,3.092911047878263
98901,WA,32351.0,3.091094556582486,3.091094556582486
97355,OR,32413.0,3.085181871471323,3.085181871471323
30008,GA,32435.0,3.083089255433945,3.083089255433945
44070,OH,32442.0,3.0824240182479503,3.0824240182479503
43082,OH,32459.0,3.080809636772544,3.080809636772544
84414,UT,32471.0,3.079671091127467,3.079671091127467
84084,UT,32568.0,3.0704986489805943,3.0704986489805943
60525,IL,32613.0,3.0662619200932144,3.0662619200932144
80111,CO,32672.0,3.060724779627816,3.060724779627816
77515,TX,32710.0,3.057169061449098,3.057169061449098
03820,NH,32800.0,3.048780487804878,3.048780487804878
75238,TX,32801.0,3.048687540014024,3.048687540014024
93555,CA,32810.0,3.047851264858275,3.047851264858275
47714,IN,32827.0,3.04627288512505,3.04627288512505
45503,OH,32870.0,3.04228780042592,3.04228780042592
88011,NM,32885.0,3.0409001064315038,3.0409001064315038
91355,CA,32886.0,3.0408076385087877,3.0408076385087877
75038,TX,32928.0,3.0369290573372205,3.0369290573372205
34209,FL,32940.0,3.0358227079538556,3.0358227079538556
