zipcode,state,population,is_sud_rehab_clinic,is_sud_rehab_clinic_capped_viz
33612,FL,49452.0,5,5.0
44118,OH,40242.0,5,5.0
20011,DC,67815.0,5,5.0
20853,MD,30611.0,5,5.0
10035,NY,35980.0,5,5.0
19047,PA,35452.0,5,5.0
08701,NJ,135256.0,5,5.0
94520,CA,38383.0,5,5.0
78216,TX,40172.0,5,5.0
21703,MD,41138.0,5,5.0
21702,MD,46412.0,5,5.0
81050,CO,9924.0,5,5.0
80246,CO,13265.0,5,5.0
90048,CA,22604.0,5,5.0
60433,IL,16526.0,5,5.0
33444,FL,22671.0,5,5.0
78041,TX,48491.0,5,5.0
61938,IL,20768.0,5,5.0
43228,OH,58465.0,5,5.0
31904,GA,36947.0,5,5.0
90011,CA,102308.0,5,5.0
85020,AZ,34534.0,5,5.0
93609,CA,5694.0,5,5.0
99701,AK,18357.0,5,5.0
98520,WA,24086.0,5,5.0
28803,NC,34108.0,5,5.0
92701,CA,48789.0,5,5.0
86314,AZ,39461.0,5,5.0
99508,AK,34394.0,5,5.0
78664,TX,60287.0,5,5.0
98004,WA,39136.0,5,5.0
83402,ID,28452.0,5,5.0
82414,WY,16087.0,5,5.0
84770,UT,44505.0,5,5.0
91423,CA,32635.0,5,5.0
94901,CA,43338.0,5,5.0
92630,CA,66359.0,5,5.0
98144,WA,32178.0,5,5.0
98005,WA,20961.0,5,5.0
92008,CA,27282.0,5,5.0
45750,OH,26327.0,5,5.0
98277,WA,41517.0,5,5.0
98226,WA,47011.0,5,5.0
98632,WA,50721.0,5,5.0
90026,CA,63329.0,5,5.0
90045,CA,41035.0,5,5.0
65202,MO,48239.0,5,5.0
45246,OH,15249.0,5,5.0
90007,CA,40944.0,5,5.0
90064,CA,27553.0,5,5.0
93003,CA,50558.0,5,5.0
91360,CA,43046.0,5,5.0
38401,TN,63075.0,5,5.0
45601,OH,56849.0,5,5.0
90002,CA,53150.0,5,5.0
28806,NC,44621.0,5,5.0
10469,NY,71571.0,5,5.0
40511,KY,36146.0,5,5.0
92054,CA,38667.0,5,5.0
27909,NC,40606.0,5,5.0
93534,CA,43906.0,5,5.0
77004,TX,37005.0,5,5.0
17110,PA,27239.0,5,5.0
92571,CA,59450.0,5,5.0
07032,NJ,41999.0,5,5.0
08861,NJ,58039.0,5,5.0
07410,NJ,34927.0,5,5.0
80020,CO,52141.0,5,5.0
85255,AZ,44976.0,5,5.0
59701,MT,33937.0,5,5.0
33404,FL,31869.0,5,5.0
19808,DE,39285.0,5,5.0
85029,AZ,47101.0,5,5.0
19901,DE,36839.0,5,5.0
80206,CO,26108.0,5,5.0
85251,AZ,40073.0,5,5.0
