zipcode,state,population,is_multispecialty_clinic_per_100k,is_multispecialty_clinic_per_100k_capped_viz
33483,FL,13103.0,38.15920018316416,34.62916209416987
33838,FL,5243.0,38.14609956131986,34.62916209416987
21237,MD,31477.0,38.12307399053277,34.62916209416987
75601,TX,15813.0,37.94346423828495,34.62916209416987
90210,CA,21134.0,37.85369546701997,34.62916209416987
77030,TX,13221.0,37.81862188941835,34.62916209416987
02903,RI,13264.0,37.69601930036188,34.62916209416987
10005,NY,10639.0,37.59751856377479,34.62916209416987
28719,NC,7980.0,37.59398496240602,34.62916209416987
48109,MI,8008.0,37.46253746253746,34.62916209416987
80701,CO,16101.0,37.26476616359232,34.62916209416987
43907,OH,5369.0,37.250884708511826,34.62916209416987
24641,VA,5377.0,37.19546215361726,34.62916209416987
98383,WA,21565.0,37.09714815673545,34.62916209416987
56307,MN,5399.0,37.04389701796629,34.62916209416987
39038,MS,5401.0,37.03017959637104,34.62916209416987
77054,TX,24419.0,36.85654613211024,34.62916209416987
93013,CA,16299.0,36.812074360390206,34.62916209416987
94705,CA,13591.0,36.789051578250316,34.62916209416987
57717,SD,8242.0,36.39893229798593,34.62916209416987
81435,CO,5499.0,36.37024913620658,34.62916209416987
33140,FL,19315.0,36.24126326689102,34.62916209416987
12180,NY,55907.0,35.77369560162413,34.62916209416987
24134,VA,5638.0,35.4735721887194,34.62916209416987
59860,MT,11309.0,35.37005924484924,34.62916209416987
58104,ND,48150.0,35.30633437175493,34.62916209416987
45631,OH,14200.0,35.21126760563381,34.62916209416987
12159,NY,8524.0,35.19474425152511,34.62916209416987
85714,AZ,14232.0,35.13209668353007,34.62916209416987
70113,LA,8569.0,35.0099194771852,34.62916209416987
62286,IL,5719.0,34.971148802238154,34.62916209416987
97205,OR,8593.0,34.91213778657046,34.62916209416987
77401,TX,17219.0,34.845229107381385,34.62916209416987
74135,OK,20173.0,34.69984632925197,34.62916209416987
56352,MN,5775.0,34.63203463203463,34.62916209416987
42544,KY,5787.0,34.560221185415585,34.560221185415585
48034,MI,14480.0,34.53038674033149,34.53038674033149
44132,OH,14524.0,34.42577802258331,34.42577802258331
80537,CO,43603.0,34.401302662660825,34.401302662660825
85014,AZ,26381.0,34.11546188544786,34.11546188544786
61944,IL,11780.0,33.955857385398986,33.955857385398986
80528,CO,23660.0,33.8123415046492,33.8123415046492
84701,UT,8883.0,33.77237419790612,33.77237419790612
10001,NY,32612.0,33.72991536857599,33.72991536857599
30830,GA,14885.0,33.59086328518643,33.59086328518643
28791,NC,14899.0,33.559299281830995,33.559299281830995
21204,MD,20967.0,33.38579672819192,33.38579672819192
33174,FL,32962.0,33.3717614222438,33.3717614222438
77304,TX,35969.0,33.36206177541772,33.36206177541772
89102,NV,36035.0,33.30095740252532,33.30095740252532
36104,AL,9021.0,33.25573661456601,33.25573661456601
08036,NJ,6021.0,33.21707357581797,33.21707357581797
43205,OH,12044.0,33.211557622052474,33.211557622052474
12144,NY,21277.0,32.89937491187667,32.89937491187667
33126,FL,48751.0,32.81983959303399,32.81983959303399
81052,CO,9142.0,32.81557646029315,32.81557646029315
38756,MS,6112.0,32.72251308900524,32.72251308900524
34471,FL,27632.0,32.57093225246091,32.57093225246091
85350,AZ,18486.0,32.45699448231094,32.45699448231094
57701,SD,46258.0,32.42682346837304,32.42682346837304
31643,GA,9252.0,32.425421530479895,32.425421530479895
23294,VA,18538.0,32.36595101952746,32.36595101952746
77074,TX,40199.0,32.33911291325655,32.33911291325655
99501,AK,18590.0,32.2754168908015,32.2754168908015
33070,FL,6220.0,32.154340836012864,32.154340836012864
80534,CO,18785.0,31.940377961139205,31.940377961139205
28204,NC,9411.0,31.877590054191902,31.877590054191902
10467,NY,103660.0,31.83484468454563,31.83484468454563
37841,TN,9443.0,31.76956475696283,31.76956475696283
97214,OR,28403.0,31.686793648558254,31.686793648558254
80615,CO,9486.0,31.625553447185325,31.625553447185325
71103,LA,6362.0,31.436655139893112,31.436655139893112
91302,CA,25468.0,31.411967959792683,31.411967959792683
07755,NJ,6375.0,31.372549019607845,31.372549019607845
16652,PA,15955.0,31.338138514572233,31.338138514572233
56701,MN,12798.0,31.25488357555868,31.25488357555868
75057,TX,16001.0,31.248046997062684,31.248046997062684
21046,MD,16023.0,31.205142607501717,31.205142607501717
75093,TX,48081.0,31.197354464341426,31.197354464341426
35801,AL,22539.0,31.05727849505302,31.05727849505302
90048,CA,22604.0,30.96797027074854,30.96797027074854
55805,MN,9731.0,30.82930839584832,30.82930839584832
98101,WA,16237.0,30.793865861920306,30.793865861920306
86305,AZ,19555.0,30.682689849143443,30.682689849143443
55792,MN,9827.0,30.52813676605271,30.52813676605271
71101,LA,6560.0,30.48780487804878,30.48780487804878
83861,ID,6581.0,30.3905181583346,30.3905181583346
21795,MD,9873.0,30.385900941962927,30.385900941962927
80234,CO,29660.0,30.343897505057317,30.343897505057317
80230,CO,9898.0,30.30915336431602,30.30915336431602
85712,AZ,33108.0,30.20418025854778,30.20418025854778
28906,NC,19896.0,30.156815440289503,30.156815440289503
97212,OR,26568.0,30.111412225233362,30.111412225233362
27601,NC,9965.0,30.105368790767685,30.105368790767685
33186,FL,69866.0,30.05753871697249,30.05753871697249
32308,FL,23355.0,29.9721687004924,29.9721687004924
93103,CA,20029.0,29.956562983673674,29.956562983673674
31533,GA,16714.0,29.91504128275697,29.91504128275697
40203,KY,16801.0,29.760133325397295,29.760133325397295
63108,MO,23603.0,29.657246960132184,29.657246960132184
75231,TX,40754.0,29.44496245767287,29.44496245767287
07401,NJ,6834.0,29.2654375182909,29.2654375182909
21601,MD,23945.0,29.233660471914806,29.233660471914806
