zipcode,state,population,combined_all_facilities_per_100k,combined_all_facilities_per_100k_capped_viz
05495,VT,10897.0,9.176837661741764,9.176837661741764
93955,CA,32703.0,9.173470323823501,9.173470323823501
77515,TX,32710.0,9.171507184347295,9.171507184347295
48327,MI,21811.0,9.169685021319518,9.169685021319518
71635,AR,10907.0,9.168423947923353,9.168423947923353
92557,CA,54549.0,9.166070872059983,9.166070872059983
92040,CA,43640.0,9.165902841429881,9.165902841429881
44116,OH,21821.0,9.165482791806058,9.165482791806058
33332,FL,10915.0,9.161704076958314,9.161704076958314
47803,IN,21832.0,9.160864785635765,9.160864785635765
16601,PA,32764.0,9.1563911610304,9.1563911610304
03755,NH,10926.0,9.152480322167309,9.152480322167309
60625,IL,76525.0,9.147337471414572,9.147337471414572
03820,NH,32800.0,9.146341463414634,9.146341463414634
19403,PA,43734.0,9.146202039603056,9.146202039603056
66208,KS,21870.0,9.144947416552355,9.144947416552355
15211,PA,10935.0,9.144947416552355,9.144947416552355
32025,FL,21886.0,9.138261902586128,9.138261902586128
35763,AL,21889.0,9.137009456804789,9.137009456804789
60610,IL,43794.0,9.133671279170661,9.133671279170661
61523,IL,10951.0,9.131586156515388,9.131586156515388
38068,TN,10952.0,9.130752373995618,9.130752373995618
72114,AR,10957.0,9.126585744273067,9.126585744273067
36116,AL,43840.0,9.124087591240876,9.124087591240876
32501,FL,10960.0,9.124087591240876,9.124087591240876
98329,WA,10960.0,9.124087591240876,9.124087591240876
44121,OH,32887.0,9.122145528628334,9.122145528628334
74132,OK,10968.0,9.11743253099927,9.11743253099927
47240,IN,21940.0,9.11577028258888,9.11577028258888
85706,AZ,54853.0,9.11527172625016,9.11527172625016
28787,NC,21948.0,9.112447603426281,9.112447603426281
70812,LA,10976.0,9.110787172011662,9.110787172011662
75142,TX,21952.0,9.110787172011662,9.110787172011662
63139,MO,21971.0,9.102908379227163,9.102908379227163
97330,OR,43947.0,9.101872710310145,9.101872710310145
76063,TX,76914.0,9.101073926723354,9.101073926723354
46226,IN,43997.0,9.091528967884173,9.091528967884173
01701,MA,33005.0,9.089531889107711,9.089531889107711
78210,TX,33010.0,9.088155104513783,9.088155104513783
18042,PA,44026.0,9.08554036251306,9.08554036251306
99205,WA,44036.0,9.083477155054956,9.083477155054956
49684,MI,22025.0,9.080590238365494,9.080590238365494
93422,CA,33041.0,9.079628340546595,9.079628340546595
60622,IL,55075.0,9.078529278256921,9.078529278256921
18252,PA,11016.0,9.07770515613653,9.07770515613653
48473,MI,22035.0,9.076469253460404,9.076469253460404
64501,MO,11020.0,9.074410163339381,9.074410163339381
75602,TX,22041.0,9.073998457420261,9.073998457420261
06437,CT,22064.0,9.064539521392314,9.064539521392314
07512,NJ,11042.0,9.056330374932077,9.056330374932077
71446,LA,22095.0,9.051821679112921,9.051821679112921
62881,IL,11053.0,9.047317470370036,9.047317470370036
57702,SD,33162.0,9.04649900488511,9.04649900488511
98070,WA,11055.0,9.045680687471732,9.045680687471732
07470,NJ,55284.0,9.044208089139715,9.044208089139715
43160,OH,22117.0,9.04281774200841,9.04281774200841
62095,IL,11060.0,9.041591320072333,9.041591320072333
75010,TX,33186.0,9.03995660820828,9.03995660820828
96795,HI,11064.0,9.038322487346349,9.038322487346349
72112,AR,11065.0,9.03750564844103,9.03750564844103
75234,TX,33216.0,9.031791907514451,9.031791907514451
28377,NC,11081.0,9.02445627650934,9.02445627650934
19023,PA,22180.0,9.017132551848512,9.017132551848512
40356,KY,44381.0,9.012865866023748,9.012865866023748
92105,CA,66579.0,9.011850583517324,9.011850583517324
08873,NJ,55500.0,9.00900900900901,9.00900900900901
83616,ID,33311.0,9.006034042808682,9.006034042808682
21842,MD,11104.0,9.005763688760807,9.005763688760807
07936,NJ,11105.0,9.004952723998198,9.004952723998198
75703,TX,44428.0,9.003331232556047,9.003331232556047
49707,MI,22243.0,8.991592860675269,8.991592860675269
34653,FL,33381.0,8.987148377819718,8.987148377819718
23061,VA,22256.0,8.986340762041698,8.986340762041698
46350,IN,44522.0,8.984322357486187,8.984322357486187
19702,DE,55653.0,8.984241640163154,8.984241640163154
03102,NH,33396.0,8.983111749910169,8.983111749910169
97305,OR,44535.0,8.981699786684631,8.981699786684631
29691,SC,11142.0,8.975049362771495,8.975049362771495
07444,NJ,11144.0,8.973438621679827,8.973438621679827
54902,WI,22309.0,8.964991707382671,8.964991707382671
27215,NC,44620.0,8.964589870013446,8.964589870013446
37912,TN,22313.0,8.963384574015148,8.963384574015148
28384,NC,11160.0,8.960573476702509,8.960573476702509
11434,NY,66964.0,8.960038229496446,8.960038229496446
02747,MA,22326.0,8.958165367732688,8.958165367732688
13088,NY,22331.0,8.95615959876405,8.95615959876405
59714,MT,22333.0,8.95535754264989,8.95535754264989
06511,CT,55879.0,8.947905295370354,8.947905295370354
31503,GA,22356.0,8.946144211844695,8.946144211844695
40353,KY,22358.0,8.94534394847482,8.94534394847482
63043,MO,22362.0,8.943743851176102,8.943743851176102
