zipcode,state,population,is_multispecialty_clinic,is_multispecialty_clinic_capped_viz
75149,TX,60317.0,5,5.0
85281,AZ,69218.0,5,5.0
78216,TX,40172.0,5,5.0
76248,TX,40894.0,5,5.0
37203,TN,20429.0,5,5.0
31719,GA,9335.0,5,5.0
92691,CA,47918.0,5,5.0
29223,SC,52477.0,5,5.0
22030,VA,60431.0,5,5.0
29229,SC,51548.0,5,5.0
33432,FL,22061.0,5,5.0
29201,SC,25259.0,5,5.0
10455,NY,43804.0,5,5.0
10029,NY,78141.0,5,5.0
97210,OR,13016.0,5,5.0
10463,NY,71301.0,5,5.0
21234,MD,67308.0,5,5.0
21133,MD,30527.0,5,5.0
85209,AZ,44192.0,5,5.0
92395,CA,47556.0,5,5.0
77338,TX,45031.0,5,5.0
63127,MO,5642.0,5,5.0
31201,GA,8882.0,5,5.0
39232,MS,9052.0,5,5.0
33617,FL,48267.0,5,5.0
74133,OK,48331.0,5,5.0
94015,CA,63489.0,5,5.0
77099,TX,49849.0,5,5.0
33176,FL,52370.0,5,5.0
36207,AL,19553.0,5,5.0
33010,FL,43902.0,5,5.0
53214,WI,34297.0,5,5.0
37215,TN,23756.0,5,5.0
80004,CO,36076.0,5,5.0
75013,TX,48360.0,5,5.0
75104,TX,49749.0,5,5.0
27455,NC,30913.0,5,5.0
49008,MI,18343.0,5,5.0
34952,FL,42630.0,5,5.0
32746,FL,45828.0,5,5.0
35244,AL,37448.0,5,5.0
60617,IL,77270.0,5,5.0
30830,GA,14885.0,5,5.0
60616,IL,54013.0,5,5.0
12866,NY,40355.0,5,5.0
33837,FL,36302.0,5,5.0
33483,FL,13103.0,5,5.0
80205,CO,34967.0,5,5.0
80204,CO,35269.0,5,5.0
87111,NM,56121.0,5,5.0
08053,NJ,46826.0,5,5.0
21286,MD,21470.0,5,5.0
20715,MD,27127.0,5,5.0
07470,NJ,55284.0,5,5.0
84103,UT,22788.0,5,5.0
97206,OR,51072.0,5,5.0
80110,CO,23279.0,5,5.0
94043,CA,31414.0,5,5.0
43213,OH,35105.0,5,5.0
44106,OH,26608.0,5,5.0
33761,FL,18761.0,5,5.0
33606,FL,22271.0,5,5.0
54016,WI,33198.0,5,5.0
42303,KY,41877.0,5,5.0
86314,AZ,39461.0,5,5.0
21044,MD,44284.0,5,5.0
85226,AZ,40689.0,5,5.0
72211,AR,24338.0,5,5.0
85122,AZ,55063.0,5,5.0
60564,IL,45616.0,5,5.0
33701,FL,19137.0,5,5.0
33647,FL,69457.0,5,5.0
23116,VA,32410.0,5,5.0
29611,SC,32413.0,5,5.0
43230,OH,58372.0,5,5.0
58501,ND,28388.0,5,5.0
30080,GA,52125.0,5,5.0
55905,MN,0.0,5,5.0
11733,NY,17967.0,5,5.0
11373,NY,105712.0,5,5.0
90017,CA,27295.0,5,5.0
90015,CA,27324.0,5,5.0
98201,WA,30421.0,5,5.0
81620,CO,10038.0,5,5.0
87505,NM,32078.0,5,5.0
90057,CA,45510.0,5,5.0
33919,FL,30587.0,5,5.0
54401,WI,31727.0,5,5.0
30318,GA,60392.0,5,5.0
35630,AL,32671.0,5,5.0
85297,AZ,36076.0,5,5.0
93455,CA,45282.0,5,5.0
80011,CO,54254.0,5,5.0
98405,WA,24617.0,5,5.0
20774,MD,51984.0,5,5.0
01040,MA,38238.0,5,5.0
93308,CA,56037.0,5,5.0
83814,ID,26966.0,5,5.0
40203,KY,16801.0,5,5.0
44132,OH,14524.0,5,5.0
62650,IL,24891.0,5,5.0
30326,GA,8729.0,5,5.0
47403,IN,33066.0,5,5.0
99559,AK,7985.0,5,5.0
54409,WI,12827.0,5,5.0
37920,TN,41210.0,5,5.0
94705,CA,13591.0,5,5.0
60625,IL,76525.0,5,5.0
76132,TX,26249.0,5,5.0
07601,NJ,46030.0,5,5.0
88011,NM,32885.0,5,5.0
85375,AZ,27944.0,5,5.0
48034,MI,14480.0,5,5.0
48076,MI,26062.0,5,5.0
21046,MD,16023.0,5,5.0
97005,OR,26873.0,5,5.0
78212,TX,26738.0,5,5.0
11207,NY,100330.0,5,5.0
12203,NY,28210.0,5,5.0
80229,CO,54153.0,5,5.0
92604,CA,27151.0,5,5.0
77030,TX,13221.0,5,5.0
83201,ID,38921.0,5,5.0
48334,MI,18731.0,5,5.0
44145,OH,34228.0,5,5.0
98372,WA,26652.0,5,5.0
28791,NC,14899.0,5,5.0
45631,OH,14200.0,5,5.0
02903,RI,13264.0,5,5.0
75240,TX,25839.0,5,5.0
85383,AZ,69617.0,5,5.0
19107,PA,17600.0,5,5.0
07002,NJ,71686.0,5,5.0
20147,VA,66394.0,5,5.0
91364,CA,27071.0,5,5.0
30253,GA,62025.0,5,5.0
32250,FL,30080.0,5,5.0
30281,GA,69540.0,5,5.0
46250,IN,19156.0,5,5.0
99362,WA,43249.0,5,5.0
89101,NV,42465.0,5,5.0
60077,IL,28856.0,5,5.0
98003,WA,51751.0,5,5.0
85378,AZ,9368.0,5,5.0
85614,AZ,25789.0,5,5.0
70601,LA,34571.0,5,5.0
75702,TX,26777.0,5,5.0
55101,MN,7788.0,5,5.0
02860,RI,47894.0,5,5.0
55369,MN,38379.0,5,5.0
30308,GA,22121.0,5,5.0
85714,AZ,14232.0,5,5.0
83501,ID,36793.0,5,5.0
20852,MD,48347.0,5,5.0
32159,FL,30455.0,5,5.0
98101,WA,16237.0,5,5.0
34748,FL,45481.0,5,5.0
99507,AK,38199.0,5,5.0
55337,MN,47333.0,5,5.0
53705,WI,24695.0,5,5.0
29072,SC,65060.0,5,5.0
92627,CA,61764.0,5,5.0
40220,KY,34315.0,5,5.0
99336,WA,51127.0,5,5.0
70816,LA,45232.0,5,5.0
90501,CA,43990.0,5,5.0
92103,CA,33311.0,5,5.0
