zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
33460,FL,36409.0,6,6.0
78745,TX,59843.0,6,6.0
89032,NV,47324.0,6,6.0
85705,AZ,56711.0,6,6.0
94401,CA,35249.0,6,6.0
92103,CA,33311.0,6,6.0
91001,CA,36578.0,6,6.0
27265,NC,52530.0,6,6.0
20032,DC,38904.0,6,6.0
80221,CO,42224.0,6,6.0
97814,OR,12780.0,6,6.0
92392,CA,62294.0,6,6.0
90290,CA,6640.0,6,6.0
21208,MD,35007.0,6,6.0
14214,NY,20732.0,6,6.0
33305,FL,12044.0,6,6.0
94520,CA,38383.0,6,6.0
56601,MN,34647.0,6,6.0
95409,CA,27741.0,6,6.0
94533,CA,77380.0,6,6.0
93277,CA,53196.0,6,6.0
93108,CA,11243.0,6,6.0
55305,MN,21533.0,6,6.0
85201,AZ,51187.0,6,6.0
84102,UT,18857.0,6,6.0
92832,CA,26277.0,6,6.0
60636,IL,34800.0,6,6.0
60628,IL,62832.0,6,6.0
55112,MN,46728.0,6,6.0
93010,CA,46223.0,6,6.0
28217,NC,28955.0,6,6.0
74135,OK,20173.0,6,6.0
80920,CO,39540.0,6,6.0
85298,AZ,41816.0,6,6.0
34957,FL,22955.0,6,6.0
68502,NE,27238.0,6,6.0
91411,CA,24984.0,6,6.0
85226,AZ,40689.0,6,6.0
90802,CA,41686.0,6,6.0
92844,CA,23668.0,6,6.0
70508,LA,40343.0,6,6.0
94609,CA,23578.0,6,6.0
85204,AZ,63808.0,6,6.0
21784,MD,40028.0,6,6.0
93065,CA,73943.0,6,6.0
90043,CA,46179.0,6,6.0
21631,MD,2644.0,6,6.0
40211,KY,21310.0,6,6.0
33020,FL,45044.0,6,6.0
33321,FL,51011.0,6,6.0
80205,CO,34967.0,6,6.0
85122,AZ,55063.0,6,6.0
93619,CA,50032.0,6,6.0
20855,MD,17003.0,6,6.0
92324,CA,58626.0,6,6.0
85266,AZ,11971.0,6,6.0
70125,LA,17457.0,6,6.0
92704,CA,82841.0,6,6.0
90803,CA,32192.0,6,6.0
77036,TX,75870.0,6,6.0
70448,LA,25670.0,6,6.0
23662,VA,12460.0,6,6.0
85212,AZ,48422.0,6,6.0
92780,CA,56034.0,6,6.0
99208,WA,58531.0,6,6.0
34950,FL,16582.0,6,6.0
45044,OH,56128.0,5,5.0
33467,FL,55813.0,5,5.0
90047,CA,50154.0,5,5.0
30141,GA,23616.0,5,5.0
93420,CA,30540.0,5,5.0
33315,FL,13555.0,5,5.0
19104,PA,56839.0,5,5.0
70806,LA,27898.0,5,5.0
53212,WI,28702.0,5,5.0
33436,FL,45230.0,5,5.0
33487,FL,20644.0,5,5.0
70809,LA,25302.0,5,5.0
30032,GA,44697.0,5,5.0
33441,FL,29311.0,5,5.0
41501,KY,22636.0,5,5.0
90003,CA,72764.0,5,5.0
91401,CA,39621.0,5,5.0
85017,AZ,45279.0,5,5.0
92804,CA,86127.0,5,5.0
85032,AZ,68710.0,5,5.0
34471,FL,27632.0,5,5.0
80204,CO,35269.0,5,5.0
91107,CA,33729.0,5,5.0
90048,CA,22604.0,5,5.0
44120,OH,34611.0,5,5.0
80013,CO,75099.0,5,5.0
92220,CA,32947.0,5,5.0
74873,OK,11496.0,5,5.0
30269,GA,39481.0,5,5.0
50314,IA,11764.0,5,5.0
33150,FL,28703.0,5,5.0
33405,FL,19369.0,5,5.0
33417,FL,34153.0,5,5.0
49503,MI,39344.0,5,5.0
60640,IL,65941.0,5,5.0
62703,IL,28344.0,5,5.0
43302,OH,54094.0,5,5.0
37421,TN,51686.0,5,5.0
94553,CA,49756.0,5,5.0
94806,CA,64589.0,5,5.0
20906,MD,71641.0,5,5.0
55902,MN,25878.0,5,5.0
92614,CA,28456.0,5,5.0
93305,CA,38392.0,5,5.0
92649,CA,34082.0,5,5.0
81501,CO,23935.0,5,5.0
20002,DC,69422.0,5,5.0
04101,ME,18109.0,5,5.0
94590,CA,39981.0,5,5.0
45242,OH,23214.0,5,5.0
91040,CA,21588.0,5,5.0
95076,CA,84433.0,5,5.0
93901,CA,29700.0,5,5.0
95401,CA,37272.0,5,5.0
84646,UT,1902.0,5,5.0
90038,CA,27414.0,5,5.0
20850,MD,51045.0,5,5.0
48207,MI,21704.0,5,5.0
21030,MD,26156.0,5,5.0
90006,CA,58229.0,5,5.0
60046,IL,34690.0,5,5.0
08857,NJ,40675.0,5,5.0
08619,NJ,23301.0,5,5.0
25701,WV,22342.0,5,5.0
57105,SD,22635.0,5,5.0
56560,MN,44205.0,5,5.0
30092,GA,35988.0,5,5.0
92530,CA,59098.0,5,5.0
96150,CA,29518.0,5,5.0
33311,FL,69413.0,5,5.0
08401,NJ,38536.0,5,5.0
20619,MD,14179.0,5,5.0
98532,WA,25572.0,5,5.0
95822,CA,45215.0,5,5.0
90011,CA,102308.0,5,5.0
39047,MS,39191.0,5,5.0
85379,AZ,49441.0,5,5.0
91601,CA,39429.0,5,5.0
58103,ND,46754.0,5,5.0
61107,IL,30722.0,5,5.0
82801,WY,25685.0,5,5.0
90044,CA,94354.0,5,5.0
85140,AZ,45381.0,5,5.0
62521,IL,33793.0,5,5.0
07501,NJ,37918.0,5,5.0
40741,KY,23327.0,5,5.0
85283,AZ,45736.0,5,5.0
92503,CA,90011.0,5,5.0
19144,PA,44481.0,5,5.0
93726,CA,42366.0,5,5.0
93720,CA,47814.0,5,5.0
92109,CA,44671.0,5,5.0
95630,CA,74787.0,5,5.0
90810,CA,38529.0,5,5.0
89502,NV,47062.0,5,5.0
70433,LA,41423.0,5,5.0
46901,IN,38072.0,5,5.0
93035,CA,28070.0,5,5.0
02860,RI,47894.0,5,5.0
21221,MD,43381.0,5,5.0
08026,NJ,2189.0,5,5.0
85143,AZ,41720.0,5,5.0
71119,LA,10724.0,5,5.0
89119,NV,48895.0,5,5.0
68508,NE,17249.0,5,5.0
94066,CA,44147.0,5,5.0
93063,CA,55076.0,5,5.0
85301,AZ,67380.0,5,5.0
97701,OR,42159.0,5,5.0
77071,TX,26949.0,5,5.0
90035,CA,30294.0,5,5.0
90008,CA,33041.0,5,5.0
84601,UT,33986.0,5,5.0
85739,AZ,18878.0,5,5.0
95404,CA,38034.0,5,5.0
94612,CA,19773.0,5,5.0
93532,CA,2373.0,5,5.0
33069,FL,28817.0,5,5.0
89147,NV,55642.0,5,5.0
89101,NV,42465.0,5,5.0
80214,CO,26493.0,5,5.0
28376,NC,43160.0,5,5.0
23235,VA,34058.0,5,5.0
28092,NC,38719.0,5,5.0
60085,IL,71609.0,5,5.0
92883,CA,34836.0,5,5.0
92881,CA,31590.0,5,5.0
32960,FL,21522.0,5,5.0
85712,AZ,33108.0,5,5.0
07503,NJ,19893.0,5,5.0
76063,TX,76914.0,5,5.0
60429,IL,14683.0,5,5.0
62901,IL,22967.0,5,5.0
94110,CA,68336.0,5,5.0
93728,CA,16191.0,5,5.0
80022,CO,57432.0,5,5.0
34983,FL,43654.0,5,5.0
95966,CA,31591.0,5,5.0
95826,CA,39902.0,5,5.0
17331,PA,55458.0,5,5.0
43231,OH,22126.0,5,5.0
32702,FL,3186.0,4,4.0
37211,TN,81830.0,4,4.0
27516,NC,45841.0,4,4.0
78621,TX,27275.0,4,4.0
28732,NC,19158.0,4,4.0
24333,VA,17309.0,4,4.0
15401,PA,30619.0,4,4.0
12701,NY,12360.0,4,4.0
92115,CA,64251.0,4,4.0
95610,CA,46592.0,4,4.0
80524,CO,39030.0,4,4.0
95062,CA,36268.0,4,4.0
91360,CA,43046.0,4,4.0
82601,WY,27180.0,4,4.0
85281,AZ,69218.0,4,4.0
02130,MA,38284.0,4,4.0
